,@FREQ,@REF_AREA,@INDICATOR,@COUNTERPART_AREA,@UNIT_MULT,@TIME_FORMAT,Obs_0_@TIME_PERIOD,Obs_0_@OBS_VALUE,Obs_1_@TIME_PERIOD,Obs_1_@OBS_VALUE
180,A,KR,TXG_FOB_USD,W00,6,P1Y,2021,644399.39,2022,683583.612
181,A,CH,TXG_FOB_USD,W00,6,P1Y,2021,379401.552404,2022,401706.622689
182,A,LY,TXG_FOB_USD,W00,6,P1Y,2021,36344.059715,2022,46483.050628
183,A,US,TXG_FOB_USD,W00,6,P1Y,2021,1754300.367662,2022,2064056.389455
184,A,SK,TXG_FOB_USD,W00,6,P1Y,2021,103891.285834,2022,107770.858037
185,A,1C_459,TXG_FOB_USD,W00,6,P1Y,,,,
186,A,UY,TXG_FOB_USD,W00,6,P1Y,2021,9537.248058,2022,11187.261351
187,A,RS,TXG_FOB_USD,W00,6,P1Y,2021,25559.357631,2022,29056.978647
188,A,MW,TXG_FOB_USD,W00,6,P1Y,2021,1069.721028,2022,1053.6078
189,A,A10,TXG_FOB_USD,W00,6,P1Y,2021,1187697.311391,2022,1404092.127077
190,A,LC,TXG_FOB_USD,W00,6,P1Y,2021,95.674498,2022,79.364778
191,A,KW,TXG_FOB_USD,W00,6,P1Y,2021,68303.554694,2022,94062.283605
192,A,1C_198,TXG_FOB_USD,W00,6,P1Y,,,,
193,A,UZ,TXG_FOB_USD,W00,6,P1Y,2021,14063.261482,2022,14253.365581
194,A,E1,TXG_FOB_USD,W00,6,P1Y,2021,1508338.165342,2022,1650202.719731
195,A,LB,TXG_FOB_USD,W00,6,P1Y,2021,4575.93208,2022,4308.951
196,A,KE,TXG_FOB_USD,W00,6,P1Y,2021,6730.576026,2022,7219.712818
197,A,BD,TXG_FOB_USD,W00,6,P1Y,2021,37848.891219,2022,46851.063751
198,A,CF,TXG_FOB_USD,W00,6,P1Y,2021,46.288059,2022,47.546631
199,A,PA,TXG_FOB_USD,W00,6,P1Y,2021,3686.245702,2022,4661.918529
200,A,CZ,TXG_FOB_USD,W00,6,P1Y,2021,226563.752375,2022,241457.659239
201,A,TJ,TXG_FOB_USD,W00,6,P1Y,2021,1473.771201,2022,1577.107897
